task,regime,task_difficulty,regime_severity,tactile_criticality,nominal_mismatch,damage_load,latency_load,sensor_health_load
slip_limited_grasp,source_matched,0.07,0.0,0.92,0.015333,0.012581,0.005,0.010416
slip_limited_grasp,low_friction,0.07,0.2,0.92,0.094612,0.145526,0.026665,0.03472
slip_limited_grasp,soft_compliance,0.07,0.28,0.92,0.0799,0.076108,0.033331,0.048608
slip_limited_grasp,texture_aliasing,0.07,0.36,0.92,0.11645,0.081397,0.039997,0.06944
slip_limited_grasp,taxel_bias,0.07,0.42,0.92,0.127164,0.075378,0.049997,0.305536
slip_limited_grasp,transient_shear_spike,0.07,0.5,0.92,0.130945,0.152072,0.119992,0.090272
slip_limited_grasp,latency_and_drift,0.07,0.56,0.92,0.14025,0.122664,0.15999,0.24304
slip_limited_grasp,compound_contact_shift,0.07,0.66,0.92,0.205524,0.192345,0.126659,0.222208
peg_in_hole_contact_search,source_matched,0.078,0.0,0.82,0.015105,0.005384,0.005625,0.010416
peg_in_hole_contact_search,low_friction,0.078,0.2,0.82,0.066265,0.043339,0.029998,0.03472
peg_in_hole_contact_search,soft_compliance,0.078,0.28,0.82,0.085105,0.032428,0.037498,0.048608
peg_in_hole_contact_search,texture_aliasing,0.078,0.36,0.82,0.117257,0.035052,0.044997,0.06944
peg_in_hole_contact_search,taxel_bias,0.078,0.42,0.82,0.132356,0.034697,0.056246,0.305536
peg_in_hole_contact_search,transient_shear_spike,0.078,0.5,0.82,0.127742,0.06288,0.134991,0.090272
peg_in_hole_contact_search,latency_and_drift,0.078,0.56,0.82,0.147526,0.053339,0.179988,0.24304
peg_in_hole_contact_search,compound_contact_shift,0.078,0.66,0.82,0.196133,0.073843,0.142491,0.222208
cloth_edge_pull,source_matched,0.082,0.0,0.88,0.016241,0.007621,0.006875,0.010416
cloth_edge_pull,low_friction,0.082,0.2,0.88,0.08443,0.080571,0.036664,0.03472
cloth_edge_pull,soft_compliance,0.082,0.28,0.88,0.106816,0.050181,0.04583,0.048608
cloth_edge_pull,texture_aliasing,0.082,0.36,0.88,0.124026,0.051693,0.054996,0.06944
cloth_edge_pull,taxel_bias,0.082,0.42,0.88,0.134419,0.047606,0.068746,0.305536
cloth_edge_pull,transient_shear_spike,0.082,0.5,0.88,0.146858,0.103085,0.164989,0.090272
cloth_edge_pull,latency_and_drift,0.082,0.56,0.88,0.158702,0.079806,0.219986,0.24304
cloth_edge_pull,compound_contact_shift,0.082,0.66,0.88,0.222845,0.11941,0.174156,0.222208
cable_threading,source_matched,0.088,0.0,0.9,0.01681,0.007696,0.0075,0.010416
cable_threading,low_friction,0.088,0.2,0.9,0.080234,0.067894,0.039997,0.03472
cable_threading,soft_compliance,0.088,0.28,0.9,0.103536,0.052351,0.049997,0.048608
cable_threading,texture_aliasing,0.088,0.36,0.9,0.133622,0.053347,0.059996,0.06944
cable_threading,taxel_bias,0.088,0.42,0.9,0.147849,0.05023,0.074995,0.305536
cable_threading,transient_shear_spike,0.088,0.5,0.9,0.160222,0.107622,0.179988,0.090272
cable_threading,latency_and_drift,0.088,0.56,0.9,0.17418,0.083414,0.239985,0.24304
cable_threading,compound_contact_shift,0.088,0.66,0.9,0.232369,0.117262,0.189988,0.222208
lid_twist_force_control,source_matched,0.08,0.0,0.84,0.015421,0.012419,0.006041,0.010416
lid_twist_force_control,low_friction,0.08,0.2,0.84,0.086815,0.118819,0.03222,0.03472
lid_twist_force_control,soft_compliance,0.08,0.28,0.84,0.08781,0.073811,0.040275,0.048608
lid_twist_force_control,texture_aliasing,0.08,0.36,0.84,0.115867,0.080009,0.04833,0.06944
lid_twist_force_control,taxel_bias,0.08,0.42,0.84,0.126488,0.077344,0.060413,0.305536
lid_twist_force_control,transient_shear_spike,0.08,0.5,0.84,0.13526,0.143988,0.144991,0.090272
lid_twist_force_control,latency_and_drift,0.08,0.56,0.84,0.145857,0.120783,0.193321,0.24304
lid_twist_force_control,compound_contact_shift,0.08,0.66,0.84,0.206203,0.177043,0.153046,0.222208
deformable_insert_alignment,source_matched,0.092,0.0,0.93,0.017315,0.008277,0.006666,0.010416
deformable_insert_alignment,low_friction,0.092,0.2,0.93,0.083899,0.074107,0.035553,0.03472
deformable_insert_alignment,soft_compliance,0.092,0.28,0.93,0.113937,0.053122,0.044442,0.048608
deformable_insert_alignment,texture_aliasing,0.092,0.36,0.93,0.137847,0.055588,0.05333,0.06944
deformable_insert_alignment,taxel_bias,0.092,0.42,0.93,0.152058,0.053133,0.066662,0.305536
deformable_insert_alignment,transient_shear_spike,0.092,0.5,0.93,0.15928,0.106738,0.15999,0.090272
deformable_insert_alignment,latency_and_drift,0.092,0.56,0.93,0.1765,0.085679,0.21332,0.24304
deformable_insert_alignment,compound_contact_shift,0.092,0.66,0.93,0.240636,0.121752,0.168878,0.222208
thin_object_pickup,source_matched,0.076,0.0,0.86,0.015777,0.010582,0.004791,0.010416
thin_object_pickup,low_friction,0.076,0.2,0.86,0.09511,0.122406,0.025554,0.03472
thin_object_pickup,soft_compliance,0.076,0.28,0.86,0.084845,0.063714,0.031942,0.048608
thin_object_pickup,texture_aliasing,0.076,0.36,0.86,0.119635,0.068295,0.038331,0.06944
thin_object_pickup,taxel_bias,0.076,0.42,0.86,0.131083,0.063329,0.047914,0.305536
thin_object_pickup,transient_shear_spike,0.076,0.5,0.86,0.136552,0.127046,0.114993,0.090272
thin_object_pickup,latency_and_drift,0.076,0.56,0.86,0.147264,0.102796,0.153324,0.24304
thin_object_pickup,compound_contact_shift,0.076,0.66,0.86,0.211288,0.161325,0.121381,0.222208
snap_fit_assembly,source_matched,0.094,0.0,0.82,0.015392,0.011759,0.00625,0.010416
snap_fit_assembly,low_friction,0.094,0.2,0.82,0.068777,0.082183,0.033331,0.03472
snap_fit_assembly,soft_compliance,0.094,0.28,0.82,0.092729,0.068801,0.041664,0.048608
snap_fit_assembly,texture_aliasing,0.094,0.36,0.82,0.118651,0.07563,0.049997,0.06944
snap_fit_assembly,taxel_bias,0.094,0.42,0.82,0.13236,0.07694,0.062496,0.305536
snap_fit_assembly,transient_shear_spike,0.094,0.5,0.82,0.133811,0.130355,0.14999,0.090272
snap_fit_assembly,latency_and_drift,0.094,0.56,0.82,0.151473,0.114645,0.199987,0.24304
snap_fit_assembly,compound_contact_shift,0.094,0.66,0.82,0.202985,0.152767,0.158323,0.222208
tactile_servo_surface_follow,source_matched,0.074,0.0,0.91,0.0165,0.005837,0.008958,0.010416
tactile_servo_surface_follow,low_friction,0.074,0.2,0.91,0.085124,0.06209,0.047775,0.03472
tactile_servo_surface_follow,soft_compliance,0.074,0.28,0.91,0.098197,0.039467,0.059718,0.048608
tactile_servo_surface_follow,texture_aliasing,0.074,0.36,0.91,0.129254,0.040161,0.071662,0.06944
