method,split,regime,task,seed,episodes,success_rate,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,calibration_error
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,0,84,0.392857,0.054582,0.334649,0.082081,0.078477,0.108557
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,1,84,0.571429,0.055050,0.335333,0.077983,0.075578,0.108907
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,2,84,0.428571,0.055518,0.336017,0.081922,0.078466,0.109257
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,3,84,0.571429,0.055986,0.336701,0.078717,0.076210,0.109608
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,4,84,0.464286,0.056454,0.337385,0.081762,0.078455,0.109958
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,5,84,0.500000,0.056922,0.338069,0.081236,0.078128,0.102304
no_tactile_policy,clean_transfer,source_matched,slip_limited_grasp,6,84,0.452381,0.057390,0.338753,0.082793,0.079301,0.102655
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,0,84,0.380952,0.062358,0.306949,0.086720,0.079063,0.104240
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,1,84,0.464286,0.062874,0.307705,0.085040,0.077911,0.104623
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,2,84,0.321429,0.063390,0.308461,0.089015,0.080830,0.105007
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,3,84,0.428571,0.051900,0.309217,0.085540,0.079250,0.105126
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,4,84,0.428571,0.052416,0.309973,0.085943,0.079598,0.105509
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,5,84,0.488095,0.052932,0.310729,0.084859,0.078874,0.105893
no_tactile_policy,clean_transfer,source_matched,peg_in_hole_contact_search,6,84,0.440476,0.053448,0.311485,0.086453,0.080079,0.106276
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,0,84,0.416667,0.059682,0.335356,0.082700,0.080100,0.102633
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,1,84,0.476190,0.060132,0.336013,0.081564,0.079333,0.102971
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,2,84,0.452381,0.060582,0.336670,0.082513,0.080065,0.103309
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,3,84,0.440476,0.061032,0.337327,0.083163,0.080583,0.103647
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,4,84,0.404762,0.061482,0.337984,0.084409,0.081530,0.103985
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,5,84,0.511905,0.061932,0.338641,0.082084,0.079906,0.104323
no_tactile_policy,clean_transfer,source_matched,cloth_edge_pull,6,84,0.380952,0.062382,0.339298,0.085710,0.082567,0.104660
no_tactile_policy,clean_transfer,source_matched,cable_threading,0,84,0.380952,0.060246,0.341742,0.083785,0.080999,0.110185
no_tactile_policy,clean_transfer,source_matched,cable_threading,1,84,0.380952,0.060696,0.342399,0.084138,0.081303,0.102519
no_tactile_policy,clean_transfer,source_matched,cable_threading,2,84,0.440476,0.061146,0.343056,0.083003,0.080535,0.102857
no_tactile_policy,clean_transfer,source_matched,cable_threading,3,84,0.404762,0.061596,0.343713,0.084249,0.081482,0.103195
no_tactile_policy,clean_transfer,source_matched,cable_threading,4,84,0.452381,0.062046,0.344370,0.083411,0.080929,0.103533
no_tactile_policy,clean_transfer,source_matched,cable_threading,5,84,0.500000,0.062496,0.345027,0.082574,0.080376,0.103871
no_tactile_policy,clean_transfer,source_matched,cable_threading,6,84,0.345238,0.062946,0.345684,0.086796,0.083466,0.104209
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,0,84,0.547619,0.052824,0.310121,0.081264,0.076719,0.106738
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,1,84,0.392857,0.053322,0.310850,0.085523,0.079841,0.107109
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,2,84,0.357143,0.053820,0.311579,0.086805,0.080819,0.107480
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,3,84,0.464286,0.054318,0.312308,0.084517,0.079227,0.107851
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,4,84,0.380952,0.054816,0.313037,0.086990,0.081063,0.108222
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,5,84,0.428571,0.055314,0.313766,0.086189,0.080542,0.108593
no_tactile_policy,clean_transfer,source_matched,lid_twist_force_control,6,84,0.464286,0.055812,0.296486,0.085686,0.080235,0.108964
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,0,84,0.476190,0.066732,0.326351,0.092320,0.086537,0.113632
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,1,84,0.464286,0.067188,0.327017,0.092976,0.087059,0.105970
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,2,84,0.345238,0.067644,0.327683,0.096309,0.081506,0.106312
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,3,84,0.392857,0.068100,0.328349,0.095477,0.080957,0.106654
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,4,84,0.416667,0.068556,0.329015,0.095239,0.080836,0.106996
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,5,84,0.357143,0.069012,0.329681,0.097085,0.082215,0.107338
no_tactile_policy,clean_transfer,low_friction,slip_limited_grasp,6,84,0.476190,0.069468,0.330347,0.094466,0.080381,0.107680
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,0,84,0.583333,0.076938,0.302296,0.087842,0.078596,0.110989
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,1,84,0.464286,0.077442,0.303034,0.091213,0.081079,0.111364
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,2,84,0.500000,0.077946,0.303772,0.090715,0.080776,0.111739
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,3,84,0.404762,0.066444,0.304510,0.092289,0.082830,0.111850
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,4,84,0.452381,0.066948,0.305248,0.091493,0.082313,0.112225
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,5,84,0.464286,0.067452,0.305986,0.091590,0.082439,0.112600
no_tactile_policy,clean_transfer,low_friction,peg_in_hole_contact_search,6,84,0.392857,0.067956,0.306724,0.093770,0.084065,0.112975
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,0,84,0.392857,0.075876,0.333124,0.090714,0.084781,0.110493
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,1,84,0.380952,0.076314,0.333763,0.091356,0.085291,0.110823
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,2,84,0.321429,0.076752,0.334402,0.093187,0.086658,0.111153
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,3,84,0.380952,0.077190,0.335041,0.092043,0.085883,0.111482
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,4,84,0.452381,0.077628,0.335680,0.090601,0.084893,0.111812
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,5,84,0.380952,0.066060,0.336319,0.091530,0.086475,0.111877
no_tactile_policy,clean_transfer,low_friction,cloth_edge_pull,6,84,0.345238,0.066498,0.336958,0.092767,0.087414,0.112207
no_tactile_policy,clean_transfer,low_friction,cable_threading,0,84,0.380952,0.076800,0.340050,0.091480,0.085491,0.110290
no_tactile_policy,clean_transfer,low_friction,cable_threading,1,84,0.440476,0.077238,0.340689,0.090336,0.084715,0.110619
no_tactile_policy,clean_transfer,low_friction,cable_threading,2,84,0.392857,0.077676,0.341328,0.091870,0.085869,0.110949
no_tactile_policy,clean_transfer,low_friction,cable_threading,3,84,0.416667,0.066108,0.341967,0.090418,0.085736,0.111014
no_tactile_policy,clean_transfer,low_friction,cable_threading,4,84,0.357143,0.066546,0.342606,0.092250,0.087103,0.111344
no_tactile_policy,clean_transfer,low_friction,cable_threading,5,84,0.404762,0.066984,0.343245,0.091403,0.086542,0.111674
no_tactile_policy,clean_transfer,low_friction,cable_threading,6,84,0.392857,0.067422,0.343884,0.092045,0.087053,0.112003
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,0,84,0.392857,0.070380,0.291923,0.093597,0.084665,0.107532
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,1,84,0.428571,0.070866,0.292634,0.093084,0.084350,0.107895
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,2,84,0.369048,0.071352,0.293345,0.094953,0.085749,0.108258
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,3,84,0.404762,0.071838,0.294056,0.094441,0.085434,0.108620
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,4,84,0.416667,0.072324,0.294767,0.094524,0.085548,0.108983
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,5,84,0.464286,0.072810,0.295478,0.093714,0.085019,0.109346
no_tactile_policy,clean_transfer,low_friction,lid_twist_force_control,6,84,0.488095,0.073296,0.296189,0.093499,0.084918,0.109709
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,0,84,0.380952,0.075241,0.326082,0.094404,0.085663,0.110207
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,1,84,0.476190,0.075715,0.326775,0.092395,0.084269,0.110562
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,2,84,0.523810,0.076189,0.327468,0.091576,0.083731,0.110916
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,3,84,0.440476,0.076663,0.328161,0.094030,0.085551,0.111271
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,4,84,0.464286,0.077137,0.328854,0.093807,0.085443,0.111625
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,5,84,0.404762,0.077611,0.329547,0.095666,0.086834,0.111979
no_tactile_policy,clean_transfer,soft_compliance,slip_limited_grasp,6,84,0.547619,0.078085,0.330240,0.092466,0.084583,0.112334
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,0,84,0.416667,0.075799,0.305564,0.092319,0.088584,0.108924
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,1,84,0.357143,0.076321,0.306329,0.094216,0.090007,0.109311
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,2,84,0.416667,0.076843,0.307094,0.093136,0.081284,0.109699
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,3,84,0.392857,0.077365,0.307859,0.094139,0.082065,0.110086
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,4,84,0.321429,0.077887,0.290615,0.096333,0.083702,0.110474
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,5,84,0.369048,0.078409,0.291380,0.095551,0.083197,0.110861
no_tactile_policy,clean_transfer,soft_compliance,peg_in_hole_contact_search,6,84,0.404762,0.078931,0.292145,0.095066,0.082906,0.111248
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,0,84,0.392857,0.078319,0.323756,0.093770,0.086153,0.110895
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,1,84,0.273810,0.078775,0.324422,0.097104,0.088603,0.111237
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,2,84,0.404762,0.079231,0.325088,0.094188,0.086554,0.111579
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,3,84,0.392857,0.079687,0.325754,0.094843,0.087077,0.111921
