case,stress_context,observed_failure,severity,proposed_status,lesson
unseen_taxel_dead_zone,sensor_bias_shift/taxel_bias,A masked taxel cluster makes a pretrained edge-contact feature appear reliable until the grasp rolls.,0.84,detected late by v5; oracle still better,Require hardware sensor-health logs and dropout-robust tactile encoders.
texture_aliasing_false_confidence,heldout_material/texture_aliasing,Two materials share a high-frequency texture signature but have opposite slip thresholds.,0.82,v5 lowers harm but keeps residual false confidence,Validate aliasing with real material libraries.
transient_shear_latency,latency_contact_shift/transient_shear_spike,"A shear spike arrives after the control decision, so the source feature is temporally misaligned.",0.86,latency compensation helps but cannot remove all delay,Measure sensor-to-actuator timing on hardware.
beneficial_feature_over_rejected,clean_transfer/source_matched,A conservative gate rejects a useful pretrained channel during benign clean transfer.,0.46,v5 retention term reduces but does not eliminate this error,Tune clean-transfer retention with real validation contacts.
contact_geometry_outside_source,heldout_geometry/compound_contact_shift,A contact patch shape has no source-domain analogue and confuses channel criticality.,0.9,v5 abstains more often,Add geometry-conditioned tactile augmentation.
slip_damage_asymmetry,combined_stress/low_friction,A small slip error causes irreversible drop damage while similar classification errors are benign.,0.88,damage-asymmetry term improves fixed-risk utility,"Report damage-weighted success, not raw success alone."
shear_without_normal_force,latency_contact_shift/transient_shear_spike,Shear appears before normal-force change and is missed by scalar uncertainty gates.,0.8,action-critical mask improves detection,Use transient tactile features in external validation.
sensor_health_confounded_with_task,sensor_bias_shift/taxel_bias,"Taxel bias correlates with hard tasks, making adaptation mistake damage for task difficulty.",0.78,health model partially disentangles the effect,Collect calibration sweeps separated from task labels.
domain_adversarial_over_alignment,heldout_material/soft_compliance,Domain alignment erases a tactile feature that is predictive only in the target domain.,0.72,v5 retains action-critical target evidence,Compare against invariant-risk and target-only baselines.
test_time_adaptation_harm,combined_stress/latency_and_drift,Fast adaptation chases a drifting tactile channel and increases regret.,0.74,risk budget rejects some harmful adapted states,Freeze adaptation windows before final evaluation.
oracle_headroom_compound_shift,combined_stress/compound_contact_shift,Oracle feature selection remains above v5 when all shift types co-occur.,0.91,reported as residual headroom,Do not claim solved negative transfer.
query_budget_exhaustion,combined_stress/taxel_bias,High uncertainty methods spend queries on non-action-critical tactile features.,0.7,v5 lowers query cost relative to uncertainty gates,Evaluate under fixed query budgets.
friction_compliance_interaction,friction_compliance_shift/soft_compliance,Soft objects appear safe at low force but fail after accumulated deformation.,0.76,v5 helps through damage asymmetry,Add deformation-state memory.
thin_object_edge_aliasing,heldout_geometry/texture_aliasing,Thin object edges mimic texture changes and trigger wrong transfer decisions.,0.73,v5 has fewer but nonzero false rejections,Use geometry-aware tactile representations.
snap_fit_force_threshold,combined_stress/latency_and_drift,Snap-fit success requires force transients that look harmful under source data.,0.79,v5 preserves more clean success than conformal risk,Separate necessary force from damaging force.
fragile_handoff_under_shift,sensor_bias_shift/compound_contact_shift,"A fragile container shifts grip dynamics after handoff, increasing unseen damage.",0.87,v5 reduces damage but not enough for submission claim,Require robot handoff rollouts and videos.
surface_following_lag,latency_contact_shift/latency_and_drift,Tactile servoing lags a surface ridge and accumulates path error.,0.77,latency term improves regret,Validate timing in closed-loop servo control.
masked_pretraining_shortcut,heldout_object/source_matched,Masked pretraining encodes object identity rather than contact mechanics.,0.66,v5 beats masked pretraining under heldout object,Audit representation shortcuts.
contrastive_positive_pair_mismatch,heldout_material/soft_compliance,"Contrastive positives preserve source material identity, harming target compliance.",0.69,v5 uses mismatch estimate to reject the channel,Use target-aware positive-pair construction.
conformal_over_conservatism,clean_transfer/source_matched,Conformal risk control rejects too many beneficial transfers in clean settings.,0.52,v5 improves retention but keeps risk coverage finite,Report clean-transfer retention alongside safety.
ensemble_disagreement_blind_spot,combined_stress/texture_aliasing,Ensemble members agree on the same wrong tactile alias.,0.81,v5 action-critical mismatch catches more aliases,Stress-test epistemic and aleatoric failure separately.
no_tactile_baseline_edge,latency_contact_shift/transient_shear_spike,A no-tactile policy can be safer than bad tactile transfer under severe latency.,0.64,reported as a boundary case,Always include no-tactile and scratch baselines.
scratch_data_hunger,combined_stress/compound_contact_shift,Scratch tactile learning avoids source harm but lacks target data efficiency.,0.62,v5 keeps transfer benefit with lower harm,Report data/query cost explicitly.
policy_checkpoint_absence,all/local-only,The audit is deterministic and local but has no trained tactile policy checkpoint.,0.95,scope gate fails honestly,Release trained checkpoints and hardware logs before submission.
