split,regime,task,seed,episodes,success_rate,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,calibration_error,ablation,interpretation
combined_stress,source_matched,slip_limited_grasp,0,84,0.702381,0.069948,0.614827,0.057383,0.231569,0.076228,full_proposed_guard,all components
combined_stress,source_matched,slip_limited_grasp,1,84,0.738095,0.070434,0.615538,0.056871,0.231254,0.076590,full_proposed_guard,all components
combined_stress,source_matched,slip_limited_grasp,2,84,0.642857,0.070920,0.616249,0.059633,0.233297,0.076953,full_proposed_guard,all components
combined_stress,source_matched,slip_limited_grasp,3,84,0.714286,0.071406,0.616960,0.058228,0.232339,0.077316,full_proposed_guard,all components
combined_stress,source_matched,slip_limited_grasp,4,84,0.666667,0.071892,0.617671,0.051795,0.233524,0.077678,full_proposed_guard,all components
combined_stress,source_matched,slip_limited_grasp,5,84,0.607143,0.072378,0.618382,0.053663,0.226919,0.078041,full_proposed_guard,all components
combined_stress,source_matched,slip_limited_grasp,6,84,0.738095,0.072864,0.619093,0.050770,0.224890,0.078404,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,0,84,0.714286,0.067744,0.591044,0.053997,0.225071,0.073062,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,1,84,0.630952,0.068278,0.591827,0.056498,0.226931,0.073457,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,2,84,0.750000,0.068812,0.592610,0.053939,0.225148,0.073853,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,3,84,0.750000,0.069346,0.593393,0.054357,0.225508,0.074249,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,4,84,0.785714,0.069880,0.594176,0.053881,0.225225,0.074645,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,5,84,0.702381,0.070414,0.594959,0.056382,0.227085,0.075040,full_proposed_guard,all components
combined_stress,source_matched,peg_in_hole_contact_search,6,84,0.726190,0.070948,0.595742,0.056204,0.227017,0.075436,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,0,84,0.690476,0.069243,0.624144,0.054270,0.229967,0.074295,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,1,84,0.607143,0.069711,0.624828,0.056721,0.231783,0.074645,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,2,84,0.690476,0.070179,0.625512,0.055004,0.230599,0.074995,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,3,84,0.630952,0.070647,0.626196,0.056859,0.231987,0.075345,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,4,84,0.630952,0.071115,0.626880,0.057226,0.232303,0.075696,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,5,84,0.714286,0.071583,0.609555,0.055509,0.231119,0.076046,full_proposed_guard,all components
combined_stress,source_matched,cloth_edge_pull,6,84,0.666667,0.072051,0.610239,0.057066,0.232292,0.076396,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,0,84,0.666667,0.069457,0.629503,0.054663,0.230420,0.073590,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,1,84,0.726190,0.069925,0.630187,0.053542,0.229665,0.073941,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,2,84,0.642857,0.070393,0.630871,0.055992,0.231481,0.074291,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,3,84,0.583333,0.070861,0.631555,0.057847,0.232868,0.074641,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,4,84,0.666667,0.071329,0.614230,0.056130,0.231684,0.074992,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,5,84,0.666667,0.071797,0.614914,0.056497,0.232000,0.075342,full_proposed_guard,all components
combined_stress,source_matched,cable_threading,6,84,0.619048,0.072265,0.615598,0.058054,0.233173,0.075692,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,0,84,0.654762,0.065942,0.587303,0.051993,0.231954,0.072869,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,1,84,0.750000,0.066458,0.588059,0.050016,0.230588,0.073252,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,2,84,0.642857,0.066974,0.588815,0.053098,0.232865,0.073636,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,3,84,0.726190,0.067490,0.589571,0.051418,0.231713,0.074019,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,4,84,0.690476,0.068006,0.590327,0.052715,0.232703,0.074403,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,5,84,0.595238,0.068522,0.591083,0.055499,0.234766,0.074786,full_proposed_guard,all components
combined_stress,source_matched,lid_twist_force_control,6,84,0.714286,0.069038,0.591839,0.052927,0.224967,0.075169,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,0,84,0.690476,0.076742,0.601588,0.059268,0.231143,0.078989,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,1,84,0.583333,0.077216,0.602281,0.062318,0.233392,0.079344,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,2,84,0.702381,0.077690,0.602974,0.059713,0.231569,0.079698,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,3,84,0.738095,0.078164,0.603667,0.059192,0.231246,0.080052,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,4,84,0.666667,0.078638,0.604360,0.061349,0.232852,0.080407,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,5,84,0.547619,0.079112,0.605053,0.064697,0.235315,0.080761,full_proposed_guard,all components
combined_stress,low_friction,slip_limited_grasp,6,84,0.702381,0.079586,0.605746,0.061199,0.232849,0.081116,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,0,84,0.714286,0.076968,0.581450,0.057448,0.234055,0.077496,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,1,84,0.654762,0.077490,0.582215,0.059344,0.235478,0.077884,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,2,84,0.607143,0.078012,0.582980,0.060943,0.236687,0.078271,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,3,84,0.690476,0.078534,0.583745,0.059267,0.235539,0.078659,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,4,84,0.595238,0.079056,0.584510,0.062057,0.237606,0.079046,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,5,84,0.690476,0.079578,0.585275,0.060084,0.236243,0.079434,full_proposed_guard,all components
combined_stress,low_friction,peg_in_hole_contact_search,6,84,0.654762,0.080100,0.586040,0.061385,0.237238,0.079821,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,0,84,0.642857,0.080080,0.616971,0.060149,0.232881,0.079841,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,1,84,0.619048,0.080536,0.617637,0.061101,0.233617,0.080183,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,2,84,0.619048,0.080992,0.618303,0.061459,0.233925,0.080525,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,3,84,0.547619,0.081448,0.600960,0.063602,0.235519,0.080867,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,4,84,0.630952,0.081904,0.601626,0.061877,0.234327,0.081209,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,5,84,0.607143,0.082360,0.602292,0.062829,0.235063,0.081551,full_proposed_guard,all components
combined_stress,low_friction,cloth_edge_pull,6,84,0.702381,0.082816,0.602958,0.060806,0.233657,0.081893,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,0,84,0.619048,0.080654,0.622870,0.060817,0.233573,0.079385,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,1,84,0.571429,0.081110,0.605527,0.062365,0.234738,0.079727,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,2,84,0.547619,0.081566,0.606193,0.063318,0.235475,0.080069,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,3,84,0.571429,0.082022,0.606859,0.063081,0.235354,0.080411,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,4,84,0.666667,0.082478,0.607525,0.061057,0.233948,0.080753,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,5,84,0.488095,0.082934,0.608191,0.065879,0.237470,0.081095,full_proposed_guard,all components
combined_stress,low_friction,cable_threading,6,84,0.726190,0.083390,0.608857,0.060284,0.233493,0.081437,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,0,84,0.833333,0.078141,0.582173,0.061265,0.231704,0.079354,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,1,84,0.607143,0.078645,0.582911,0.067314,0.236115,0.079729,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,2,84,0.750000,0.079149,0.583649,0.064137,0.233884,0.080104,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,3,84,0.654762,0.079653,0.566378,0.058908,0.235938,0.080479,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,4,84,0.654762,0.080157,0.567116,0.059303,0.236278,0.080854,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,5,84,0.690476,0.080661,0.567854,0.058804,0.235975,0.081229,full_proposed_guard,all components
combined_stress,low_friction,lid_twist_force_control,6,84,0.607143,0.081165,0.568592,0.061282,0.237815,0.081604,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,0,84,0.678571,0.077822,0.609284,0.062066,0.232310,0.078941,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,1,84,0.630952,0.078314,0.610004,0.063642,0.233499,0.079308,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,2,84,0.666667,0.078806,0.610724,0.063134,0.233188,0.079675,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,3,84,0.654762,0.079298,0.611444,0.063817,0.233734,0.080041,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,4,84,0.654762,0.079790,0.594155,0.064202,0.234066,0.080408,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,5,84,0.690476,0.080282,0.594875,0.063694,0.233755,0.080775,full_proposed_guard,all components
combined_stress,soft_compliance,slip_limited_grasp,6,84,0.702381,0.080774,0.595595,0.063782,0.233873,0.081142,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,0,84,0.642857,0.080406,0.574674,0.063541,0.237865,0.079072,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,1,84,0.714286,0.080946,0.575466,0.062177,0.236943,0.079472,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,2,84,0.595238,0.081486,0.576258,0.065576,0.231446,0.079872,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,3,84,0.642857,0.082026,0.577050,0.064807,0.230953,0.080272,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,4,84,0.654762,0.082566,0.577842,0.064932,0.231102,0.080672,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,5,84,0.714286,0.083106,0.578634,0.063865,0.230395,0.081072,full_proposed_guard,all components
combined_stress,soft_compliance,peg_in_hole_contact_search,6,84,0.678571,0.083646,0.579426,0.065180,0.231402,0.081471,full_proposed_guard,all components
combined_stress,soft_compliance,cloth_edge_pull,0,84,0.511905,0.087100,0.615568,0.070476,0.240150,0.083883,full_proposed_guard,all components
combined_stress,soft_compliance,cloth_edge_pull,1,84,0.666667,0.087574,0.616261,0.066979,0.237684,0.084238,full_proposed_guard,all components
combined_stress,soft_compliance,cloth_edge_pull,2,84,0.619048,0.088048,0.598945,0.068541,0.238861,0.084592,full_proposed_guard,all components
combined_stress,soft_compliance,cloth_edge_pull,3,84,0.595238,0.088522,0.599638,0.069507,0.239610,0.084947,full_proposed_guard,all components
combined_stress,soft_compliance,cloth_edge_pull,4,84,0.630952,0.088996,0.600331,0.068986,0.231283,0.085301,full_proposed_guard,all components
combined_stress,soft_compliance,cloth_edge_pull,5,84,0.630952,0.077464,0.601024,0.068157,0.231603,0.077387,full_proposed_guard,all components
