task,regime,split,method,seed,episodes,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score,variant,component_note
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,0,96,0.88,0.119607,0.8306,0.800255,0.70754,0.6073,0.6073,0.02842,0.827092,0.034377,0.181884,0.039309,0.07849,0.040785,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,1,96,0.88,0.119607,0.8306,0.800255,0.722668,0.623064,0.623064,0.021601,0.826691,0.037199,0.182472,0.040126,0.078104,0.039551,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,2,96,0.88,0.119607,0.8306,0.800255,0.724387,0.632315,0.632315,0.018627,0.821162,0.031308,0.179492,0.037211,0.07605,0.03564,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,3,96,0.88,0.119607,0.8306,0.800255,0.716299,0.625405,0.625405,0.017411,0.811086,0.029647,0.179377,0.038985,0.076518,0.034857,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,4,96,0.88,0.119607,0.8306,0.800255,0.711498,0.610082,0.610082,0.028889,0.819966,0.035501,0.181079,0.040377,0.078223,0.041431,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,5,96,0.88,0.119607,0.8306,0.800255,0.706505,0.611296,0.611296,0.023285,0.823429,0.031384,0.180948,0.038293,0.078697,0.037838,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,6,96,0.88,0.119607,0.8306,0.800255,0.717184,0.614799,0.614799,0.02593,0.821799,0.039397,0.181235,0.039073,0.076565,0.041476,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,7,96,0.88,0.119607,0.8306,0.800255,0.712906,0.618417,0.618417,0.024609,0.827655,0.029457,0.181426,0.036474,0.083595,0.038255,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,8,96,0.88,0.119607,0.8306,0.800255,0.721581,0.623337,0.623337,0.028045,0.816479,0.032747,0.182435,0.037762,0.076428,0.039512,full_action_critical_guard,all v5 components
slip_limited_grasp,source_matched,combined_stress,full_action_critical_guard,9,96,0.88,0.119607,0.8306,0.800255,0.710467,0.612034,0.612034,0.03076,0.818896,0.03213,0.175764,0.039941,0.07805,0.040711,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,0,96,0.88,0.301691,0.8306,0.796941,0.73766,0.629419,0.629419,0.031643,0.810319,0.040275,0.185474,0.042656,0.081198,0.044944,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,1,96,0.88,0.301691,0.8306,0.796941,0.727803,0.610847,0.610847,0.038956,0.81123,0.045963,0.185705,0.048364,0.075688,0.049171,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,2,96,0.88,0.301691,0.8306,0.796941,0.734749,0.617655,0.617655,0.034704,0.814433,0.049273,0.185092,0.04574,0.080488,0.049585,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,3,96,0.88,0.301691,0.8306,0.796941,0.732184,0.614548,0.614548,0.038546,0.804346,0.049827,0.182591,0.042424,0.080599,0.05079,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,4,96,0.88,0.301691,0.8306,0.796941,0.735789,0.626786,0.626786,0.027661,0.803559,0.043047,0.186818,0.043076,0.081802,0.044795,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,5,96,0.88,0.301691,0.8306,0.796941,0.725677,0.611243,0.611243,0.032613,0.806155,0.048322,0.183121,0.043911,0.08052,0.048335,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,6,96,0.88,0.301691,0.8306,0.796941,0.724717,0.608978,0.608978,0.033181,0.805814,0.048822,0.185009,0.044134,0.082125,0.04903,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,7,96,0.88,0.301691,0.8306,0.796941,0.726127,0.609819,0.609819,0.038064,0.816908,0.047989,0.182543,0.042557,0.082418,0.050268,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,8,96,0.88,0.301691,0.8306,0.796941,0.721855,0.607487,0.607487,0.037624,0.815242,0.045906,0.184436,0.042308,0.077934,0.048495,full_action_critical_guard,all v5 components
slip_limited_grasp,low_friction,combined_stress,full_action_critical_guard,9,96,0.88,0.301691,0.8306,0.796941,0.728867,0.613303,0.613303,0.033386,0.811278,0.048128,0.186751,0.042017,0.086628,0.049434,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,0,96,0.88,0.262757,0.8306,0.79765,0.726048,0.619753,0.619753,0.031252,0.812206,0.039859,0.182155,0.041688,0.07768,0.043924,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,1,96,0.88,0.262757,0.8306,0.79765,0.721664,0.612779,0.612779,0.035853,0.81118,0.040478,0.181516,0.04196,0.078646,0.045924,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,2,96,0.88,0.262757,0.8306,0.79765,0.72766,0.618459,0.618459,0.037482,0.803783,0.040194,0.181919,0.040546,0.079944,0.046462,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,3,96,0.88,0.262757,0.8306,0.79765,0.723923,0.619763,0.619763,0.037914,0.810555,0.03161,0.182892,0.044978,0.075653,0.043018,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,4,96,0.88,0.262757,0.8306,0.79765,0.714124,0.602395,0.602395,0.034711,0.804952,0.042394,0.185132,0.044309,0.081915,0.047087,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,5,96,0.88,0.262757,0.8306,0.79765,0.724317,0.616337,0.616337,0.034283,0.814193,0.039708,0.1805,0.043377,0.079816,0.04545,full_action_critical_guard,all v5 components
slip_limited_grasp,soft_compliance,combined_stress,full_action_critical_guard,6,96,0.88,0.262757,0.8306,0.79765,0.742446,0.625837,0.625837,0.037706,0.816093,0.049087,0.183465,0.040644,0.082899,0.050459,full_action_critical_guard,all v5 components
